Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
SRR6954582_1		90.22399054101966	32.0	150.0	54.54545454545454	137074079.0	
SRR6954582_2		74.74300935983352	44.0	150.0	27.27272727272727	137074079.0	
SRR6954799.assembled	92.34	64.35633483172842	41.0	118.87934960880663	27.27272727272727	4927742.0	
SRR6954799.assembled.bx							25.41149795928488
SRR6954799.unassembled	52.96						
SRR6954799.unassembled_1		15.303614693742986	35.0	55.05580565393429	45.45454545454545	4968045.0	
SRR6954799.unassembled_2		60.438796457331954	48.0	149.96501561479414	27.27272727272727	4968045.0	
SRR6954799.unassembled_2.bx							16.469877566636963
SRR6954799_1		69.56306838712163	33.0	150.0	45.45454545454545	55973902.0	
SRR6954799_2		71.51451095588027	43.0	150.0	36.36363636363637	55973902.0	
